gene_id,program,branch_id,species,aBSREL_LRT,aBSREL_pvalue,aBSREL_pvalue_corrected,aBSREL_pvalue_uncorrected,aBSREL_branch_dN,aBSREL_branch_dS,aBSREL_branch_omega,aBSREL_baseline_omega,aBSREL_baseline_lnL,aBSREL_nucleotide_GTR,aBSREL_rate_classes,aBSREL_omega_classes,aBSREL_omega_weights,aBSREL_positive_omega_classes,aBSREL_positive_omega_weights,aBSREL_max_omega
AACSpart0,aBSREL,AACS_PROLEMUR_SIMUS_ENSPSMT00000039081_ENSPSMP00000033932_ALTERNATIVE,PROLEMUR,79.02394219415328,0,0,0,10.8122774409852,0.004244801226226978,2547.181096297357,0.702567246622335,0.03462234170590852,0.03393639196820024,2,"[0.05643080969862421, 21891.63499437146]","[0.9591452861551444, 0.04085471384485562]",[21891.63499437146],[0.04085471384485562],21891.63499437146
AACSpart1,aBSREL,AACS_PROLEMUR_SIMUS_ENSPSMT00000039088_ENSPSMP00000033936_ALTERNATIVE,PROLEMUR,20.01891786079204,0.001171977433271465,0.001171977433271465,1.502535170860853e-05,1.582465593794623,0.004320475870511886,366.2711333710409,0.2337400939522892,0.01222840650315671,0.01198463090843567,2,"[0, 11372.18155991686]","[0.9910740367861253, 0.008925963213874732]",[11372.18155991686],[0.008925963213874732],11372.18155991686
AACSpart2,aBSREL,NODE56,NA,19.2251427628662,0.001723895291179556,0.001723895291179556,2.238825053479943e-05,31.28023254513143,0.0001990931743844014,157113.53561893973,0.9671624687829545,0.4217806375846059,0.4233546412699258,2,"[0, 99999.99999999693]","[0.6102072402304105, 0.3897927597695895]",[99999.99999999693],[0.3897927597695895],99999.99999999693
AACSpart3,aBSREL,AACS_AOTUS_NANCYMAAE_ENSANAT00000036293_ENSANAP00000018430_CANONICAL,AOTUS,26.48608968647613,4.503562699809116e-05,4.503562699809116e-05,5.848782727024826e-07,15.42639558687096,0.02524460959356395,611.0768134360011,0.6489778773296764,0.1662016678491293,0.1701710596963245,2,"[0.6249277103114401, 1749.385512896995]","[0.8914210719189419, 0.1085789280810581]",[1749.385512896995],[0.1085789280810581],1749.385512896995
AACSpart3,aBSREL,AACS_MACACA_MULATTA_ENSMMUT00000082456_ENSMMUP00000065518_ALTERNATIVE,MACACA,41.17360560226325,2.899430628922062e-08,2.899430628922062e-08,3.717218755028284e-10,2.258585863546591,0.03218816750681484,70.16820274308583,0,0.06541511641472326,0.01745074070124852,2,"[0, 99.34436628788507]","[0.7798066434855483, 0.2201933565144517]",[99.34436628788507],[0.2201933565144517],99.34436628788507
AACSpart3,aBSREL,AACS_PROLEMUR_SIMUS_ENSPSMT00000039088_ENSPSMP00000033936_ALTERNATIVE,PROLEMUR,16.25124305208556,0.007588818407499698,0.007588818407499698,9.985287378289076e-05,0.659756474340492,0.006804593117755402,96.95752015193564,1.433716355503902,0.08692493730674115,0.08662161068880886,2,"[0.2369921368892478, 256.9183776489452]","[0.8831642610735783, 0.1168357389264217]",[256.9183776489452],[0.1168357389264217],256.9183776489452
ABATpart0,aBSREL,ABAT_PONGO_ABELII_ENSPPYT00000035062_ENSPPYP00000043358_ALTERNATIVE,PONGO,40.21168557449164,5.536738223455018e-08,5.536738223455018e-08,6.018193721146758e-10,0.3996156689475301,0.008751168758101526,45.664262682350845,0.6474069513735112,0.04838029650847653,0.04859028758111548,2,"[0, 335.7694459800065]","[0.9472001924600462, 0.05279980753995384]",[335.7694459800065],[0.05279980753995384],335.7694459800065
ABATpart0,aBSREL,ABAT_PROLEMUR_SIMUS_ENSPSMT00000034833_ENSPSMP00000030195_CANONICAL,PROLEMUR,49.9481113710026,4.40788738842457e-10,4.40788738842457e-10,4.59154936294226e-12,16.60058437352899,0.007263321025484797,2285.536370385194,0.5939733835863008,0.04908287713206478,0.04883346199911482,2,"[0, 16205.44206877229]","[0.9452449325921461, 0.05475506740785385]",[16205.44206877229],[0.05475506740785385],16205.44206877229
ABATpart0,aBSREL,ABAT_SAIMIRI_BOLIVIENSIS_BOLIVIENSIS_ENSSBOT00000057018_ENSSBOP00000040052_ALTERNATIVE,SAIMIRI,47.70571723897319,1.340559885321113e-09,1.340559885321113e-09,1.411115668759066e-11,83.3605723750799,0.007293745981031694,11429.047925698203,0.6136755811701098,0.05973821824906812,0.06026640706540258,2,"[0, 66898.12840052517]","[0.93367257304661, 0.06632742695339]",[66898.12840052517],[0.06632742695339],66898.12840052517
ABATpart0,aBSREL,NODE38,NA,44.56903009579128,6.380065808997415e-09,6.380065808997415e-09,6.78730405212491e-11,7.069347169586926,0.004592579920440062,1539.2975826340198,0.7767642697166786,0.03542751795275062,0.03583543758381429,2,"[0, 15300.33434913197]","[0.9609412149691452, 0.0390587850308548]",[15300.33434913197],[0.0390587850308548],15300.33434913197
